Product Name,Specifications,Rating,Price,Battery Life,Weight,Webcam,Display Size,Brand,Processor,RAM,DDR,OS,Storage,Display,Warranty,Specification
HP Backlit,Intel Core i 5 Processor (12th Gen)8 GB DDR 4 RAM 64 bit Windows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.3,44990,Warranty Summary,1.69 Kg,HP True Vision 720p HD camera,39.62 cm (15.6 Inch),HP,Intel Core i 5 Processor (12th Gen),8 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: HP Backlit, Brand: HP, Rating: 4.3, Price: ₹44990, Processor: Intel Core i 5 Processor (12th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.69 Kg kg, Warranty: 1 Year Onsite Warranty"
ASUS Chromebook,Intel Celeron Dual Core Processor 4 GB LPDDR 4X RAMChrome Operating System 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,3.8,32990,Not found,1.80 Kg,720p HD camera,39.62 cm (15.6 Inch),ASUS,Not found,4 GB,LPDDR,Not found,Not found,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: ASUS Chromebook, Brand: ASUS, Rating: 3.8, Price: ₹32990, Processor: Not found, RAM: 4 GB GB, DDR: LPDDR, OS: Not found, Storage: Not found, Weight: 1.80 Kg kg, Warranty: 1 Year Onsite Warranty"
MSI Modern 15,Intel Core i 3 Processor (12th Gen)8 GB LPDDR 4X RAM 64 bit Windows 11 Operating System 512 GB SSD 39.62 cm (15.6 inch) DisplayWindows 11 Home 1 Year by MSI,Not found,32990,3 cell,1.6 kg,HD type (30fps@720p),39.62 cm (15.6 inch),MSI,Intel Core i 3 Processor (12th Gen),8 GB,LPDDR,Windows 11,512 GB SSD,39.62 cm (15.6 inch),Not found,"Product: MSI Modern 15, Brand: MSI, Rating: Not found, Price: ₹32990, Processor: Intel Core i 3 Processor (12th Gen), RAM: 8 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.6 kg kg, Warranty: Not found"
MSI Thin 15,Intel Core i 5 Processor (12th Gen)16 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 2 Year Onsite Warranty,4.3,50990,Model Number,1.86 Kg,HD type (30fps@720p),39.62 cm (15.6 Inch),MSI,Intel Core i 5 Processor (12th Gen),16 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),2 Year Onsite Warranty,"Product: MSI Thin 15, Brand: MSI, Rating: 4.3, Price: ₹50990, Processor: Intel Core i 5 Processor (12th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.86 Kg kg, Warranty: 2 Year Onsite Warranty"
ASUS TUF Gaming A15,AMD Ryzen 7 Octa Core Processor 8 GB DDR 5 RAMWindows 11 Home Operating System 512 GB SSD 39.62 cm (15.6 inch) Display 1 Year Carry-in Warranty,4.3,52990,3 Cell,2.30 Kg,720p HD camera,39.62 cm (15.6 inch),ASUS,Not found,8 GB,DDR,Windows 11 Home,512 GB SSD,39.62 cm (15.6 inch),1 Year Carry-in Warranty,"Product: ASUS TUF Gaming A15, Brand: ASUS, Rating: 4.3, Price: ₹52990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 512 GB SSD, Weight: 2.30 Kg kg, Warranty: 1 Year Carry-in Warranty"
CHUWI,Intel Celeron Dual Core Processor (11th Gen)8 GB DDR 5 RAM 64 bit Windows 11 Operating System 256 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,3.7,18990,Upto 9 hours,1.74 kg,2.0MP,39.62 cm (15.6 Inch),CHUWI,Intel Celeron Dual Core Processor (11th Gen),8 GB,DDR,Windows 11,256 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: CHUWI, Brand: CHUWI, Rating: 3.7, Price: ₹18990, Processor: Intel Celeron Dual Core Processor (11th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 256 GB SSD, Weight: 1.74 kg kg, Warranty: 1 Year Onsite Warranty"
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Plus",Snapdragon X Plus Processor 16 GB LPDDR 5X RAMWindows 11 Operating System 1 TB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4,79990,3 Cell,1.42 Kg,FHD camera with IR function to support Windows Hello With privacy shutter,39.62 cm (15.6 Inch),ASUS,Not found,16 GB,LPDDR,Windows 11,1 TB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Plus, Brand: ASUS, Rating: 4, Price: ₹79990, Processor: Not found, RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 1 TB SSD, Weight: 1.42 Kg kg, Warranty: 1 Year Onsite Warranty"
MSI Sword 16 HX,Intel Core i 7 Processor (14th Gen)16 GB DDR 5 RAMWindows 11 Operating System 1 TB SSD 40.64 cm (16 Inch) Display 2 Year Onsite Warranty,3.7,129990,Model Number,2.3 Kg,HD type (30fps@720p)3D Noise Reduction (3DNR),40.64 cm (16 Inch),MSI,Intel Core i 7 Processor (14th Gen),16 GB,DDR,Windows 11,1 TB SSD,40.64 cm (16 Inch),2 Year Onsite Warranty,"Product: MSI Sword 16 HX, Brand: MSI, Rating: 3.7, Price: ₹129990, Processor: Intel Core i 7 Processor (14th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 1 TB SSD, Weight: 2.3 Kg kg, Warranty: 2 Year Onsite Warranty"
MSI,AMD Ryzen 5 Hexa Core Processor 8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) Display 1 Year Carry-in Warranty,Not found,36990,Not found,1.4 Kg,HD type (30fps@720p),35.56 cm (14 Inch),MSI,Not found,8 GB,DDR,Windows 11,512 GB SSD,35.56 cm (14 Inch),1 Year Carry-in Warranty,"Product: MSI, Brand: MSI, Rating: Not found, Price: ₹36990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.4 Kg kg, Warranty: 1 Year Carry-in Warranty"
CHUWI,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR 4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR 4 RAM 64 bit Windows 11 Operating System 256 GB SSD 35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software 1 Year Onsite Warranty",3.7,16490,Up To 9 Hours,1.39 kg,Yes,35.81 cm (14.1 inch),CHUWI,Intel Celeron Dual Core Processor (11th Gen),8GB,LPDDR,Windows 11,256 GB SSD,35.81 cm (14.1 inch),1 Year Onsite Warranty,"Product: CHUWI, Brand: CHUWI, Rating: 3.7, Price: ₹16490, Processor: Intel Celeron Dual Core Processor (11th Gen), RAM: 8GB GB, DDR: LPDDR, OS: Windows 11, Storage: 256 GB SSD, Weight: 1.39 kg kg, Warranty: 1 Year Onsite Warranty"
HP,Intel Core i 5 Processor (12th Gen)16 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 inch) Display 1 Year Onsite warranty,4.3,46190,Not found,1.69 Kg,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,39.62 cm (15.6 inch),HP,Intel Core i 5 Processor (12th Gen),16 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 inch),Not found,"Product: HP, Brand: HP, Rating: 4.3, Price: ₹46190, Processor: Intel Core i 5 Processor (12th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.69 Kg kg, Warranty: Not found"
DELL,Intel Core i 5 Processor (13th Gen)8 GB LPDDR 5 RAMWindows 11 Operating System 1 TB SSD 35.56 cm (14 inch) Display 1-year warranty,4,57990,UPTO 8 HRS,Not found,Not found,35.56 cm (14 inch),DELL,Intel Core i 5 Processor (13th Gen),8 GB,LPDDR,Windows 11,1 TB SSD,35.56 cm (14 inch),Not found,"Product: DELL, Brand: DELL, Rating: 4, Price: ₹57990, Processor: Intel Core i 5 Processor (13th Gen), RAM: 8 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 1 TB SSD, Weight: Not found kg, Warranty: Not found"
Lenovo ThinkBook 16 G6 ABP,AMD Ryzen 7 Octa Core Processor 16 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 40.64 cm (16 inch) Display 1 Year Onsite Warranty,4.1,52990,Upto 9.22 Hours,1.7 Kg,720P HD,40.64 cm (16 inch),Lenovo,Not found,16 GB,DDR,Windows 11,512 GB SSD,40.64 cm (16 inch),1 Year Onsite Warranty,"Product: Lenovo ThinkBook 16 G6 ABP, Brand: Lenovo, Rating: 4.1, Price: ₹52990, Processor: Not found, RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.7 Kg kg, Warranty: 1 Year Onsite Warranty"
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis,Intel Core Ultra 5 Processor 16 GB LPDDR 5X RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Touchscreen Display 1 Year Onsite Warranty,4.9,114990,Upto 12.3 Hours,1.46 Kg,Not found,39.62 cm (15.6 Inch),SAMSUNG,Not found,16 GB,LPDDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis, Brand: SAMSUNG, Rating: 4.9, Price: ₹114990, Processor: Not found, RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.46 Kg kg, Warranty: 1 Year Onsite Warranty"
HP Laptop,Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Home Operating System 512 GB SSD 39.62 cm (15.6 inch) Display 1 Year Carry-in Warranty,4.4,35990,3 Cell,1.59 kg,HP True Vision 1080p FHD Camera with Temporal Noise Reduction,39.62 cm (15.6 inch),HP,Intel Core i 3 Processor (13th Gen),8 GB,DDR,Windows 11 Home,512 GB SSD,39.62 cm (15.6 inch),1 Year Carry-in Warranty,"Product: HP Laptop, Brand: HP, Rating: 4.4, Price: ₹35990, Processor: Intel Core i 3 Processor (13th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 512 GB SSD, Weight: 1.59 kg kg, Warranty: 1 Year Carry-in Warranty"
ASUS Vivobook 14 Flip OLED,"Intel Core Ultra 5 Processor 16 GB LPDDR 5X RAMWindows 11 Home Operating System 512 GB SSD 35.56 cm (14 Inch) Touchscreen DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), 
McAfee? 1 year, One-Month Membership of Adobe Creative Cloud All Apps 1 Year Onsite warranty",Not found,93990,Other Accessories,1.57 Kg,FHD camera with IR function to support Windows Hello With privacy shutter,35.56 cm (14 Inch),ASUS,Not found,16 GB,LPDDR,Windows 11 Home,512 GB SSD,35.56 cm (14 Inch),Not found,"Product: ASUS Vivobook 14 Flip OLED, Brand: ASUS, Rating: Not found, Price: ₹93990, Processor: Not found, RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11 Home, Storage: 512 GB SSD, Weight: 1.57 Kg kg, Warranty: Not found"
DELL,Intel Core i 3 Processor (12th Gen)8 GB DDR 4 RAMWindows 11 Operating System 256 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.1,34990,Upto 7 hours,1.65 Kg,HD,39.62 cm (15.6 Inch),DELL,Intel Core i 3 Processor (12th Gen),8 GB,DDR,Windows 11,256 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: DELL, Brand: DELL, Rating: 4.1, Price: ₹34990, Processor: Intel Core i 3 Processor (12th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 256 GB SSD, Weight: 1.65 Kg kg, Warranty: 1 Year Onsite Warranty"
DELL Inspiron 5430,"Intel Core i 5 Processor (13th Gen)16 GB LPDDR 5 RAM 64 bit Windows 11 Operating System 1 TB SSD 35.56 cm (14 inch) DisplayWindows 11, Microsoft Office 1-year warranty",4,74500,UPTO 8 HRS,Not found,HD Camera,35.56 cm (14 inch),DELL,Intel Core i 5 Processor (13th Gen),16 GB,LPDDR,Windows 11,1 TB SSD,35.56 cm (14 inch),Not found,"Product: DELL Inspiron 5430, Brand: DELL, Rating: 4, Price: ₹74500, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 1 TB SSD, Weight: Not found kg, Warranty: Not found"
Lenovo,Intel Core i 3 Processor (12th Gen)8 GB DDR 4 RAMDOS Operating System 512 GB SSD 39.62 cm (15.6 Inch) DisplayDOS 1 Year Onsite Warranty,3.9,31490,2 Cell,1.7 Kg,"HD 720p, with privacy shutter, fixed focus",39.62 cm (15.6 Inch),Lenovo,Intel Core i 3 Processor (12th Gen),8 GB,DDR,Not found,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: Lenovo, Brand: Lenovo, Rating: 3.9, Price: ₹31490, Processor: Intel Core i 3 Processor (12th Gen), RAM: 8 GB GB, DDR: DDR, OS: Not found, Storage: 512 GB SSD, Weight: 1.7 Kg kg, Warranty: 1 Year Onsite Warranty"
Lenovo IdeaPad Slim 5,Intel Core i 5 Processor (13th Gen)16 GB DDR 5 RAMWindows 11 Home Operating System 1 TB SSD 35.56 cm (14 inch) DisplayOffice Home 20241 Year Carry-in Warranty,Not found,97290,Integrated 60Wh,1.39 Kg,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",35.56 cm (14 inch),Lenovo,Intel Core i 5 Processor (13th Gen),16 GB,DDR,Windows 11 Home,1 TB SSD,35.56 cm (14 inch),20241 Year Carry-in Warranty,"Product: Lenovo IdeaPad Slim 5, Brand: Lenovo, Rating: Not found, Price: ₹97290, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 1 TB SSD, Weight: 1.39 Kg kg, Warranty: 20241 Year Carry-in Warranty"
HP Victus,Intel Core i 5 Processor (13th Gen)16 GB DDR 4 RAMWindows 11 Home Operating System 512 GB SSD 39.62 cm (15.6 inch) DisplayWindows 11 and Microsoft Office Home & Student Edition 20241 Year Carry-in Warranty,4.4,69990,"3-cell, 52.5 Wh Li-ion polymer",2.29 Kg,HP Wide Vision 720p HD camera with temporal noise reduction,39.62 cm (15.6 inch),HP,Intel Core i 5 Processor (13th Gen),16 GB,DDR,Windows 11 Home,512 GB SSD,39.62 cm (15.6 inch),20241 Year Carry-in Warranty,"Product: HP Victus, Brand: HP, Rating: 4.4, Price: ₹69990, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 512 GB SSD, Weight: 2.29 Kg kg, Warranty: 20241 Year Carry-in Warranty"
HP Chromebook,Intel Celeron Quad Core Processor 4 GB LPDDR 4 RAM 64 bit Chrome Operating System 35.56 cm (14 Inch) Touchscreen Display 1 Year Onsite warranty,4.1,22999,Warranty Summary,1.49 Kg,HP Wide Vision 720p HD camera,35.56 cm (14 Inch),HP,Not found,4 GB,LPDDR,Not found,Not found,35.56 cm (14 Inch),Not found,"Product: HP Chromebook, Brand: HP, Rating: 4.1, Price: ₹22999, Processor: Not found, RAM: 4 GB GB, DDR: LPDDR, OS: Not found, Storage: Not found, Weight: 1.49 Kg kg, Warranty: Not found"
DELL Inspiron,Intel Core i 7 Processor (13th Gen)16 GB LPDDR 5 RAM 64 bit Windows 11 Operating System 512 GB SSD 35.56 cm (14 inch) DisplayDell Support Assist 1-year warranty,4.3,77890,UPTO 6 HRS,2.9 kg,Yes,35.56 cm (14 inch),DELL,Intel Core i 7 Processor (13th Gen),16 GB,LPDDR,Windows 11,512 GB SSD,35.56 cm (14 inch),Not found,"Product: DELL Inspiron, Brand: DELL, Rating: 4.3, Price: ₹77890, Processor: Intel Core i 7 Processor (13th Gen), RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 2.9 kg kg, Warranty: Not found"
HP 15,AMD Ryzen 3 Quad Core Processor 8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,29990,Not found,1.59 Kg,HP True Vision 1080p FHD camera,39.62 cm (15.6 Inch),HP,Not found,8 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: HP 15, Brand: HP, Rating: 4.2, Price: ₹29990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.59 Kg kg, Warranty: 1 Year Onsite Warranty"
CHUWI,"Intel Celeron Quad Core Processor (12th Gen)8 GB LPDDR 5 RAM 64 bit Windows 11 Home Operating System 256 GB SSD 39.62 cm (15.6 inch) DisplayWPS Office, Operating System Software 1 Year Onsite Warranty",4.1,20990,Up To 6 Hours,1.74 kg,Yes,39.62 cm (15.6 inch),CHUWI,Intel Celeron Quad Core Processor (12th Gen),8 GB,LPDDR,Windows 11 Home,256 GB SSD,39.62 cm (15.6 inch),1 Year Onsite Warranty,"Product: CHUWI, Brand: CHUWI, Rating: 4.1, Price: ₹20990, Processor: Intel Celeron Quad Core Processor (12th Gen), RAM: 8 GB GB, DDR: LPDDR, OS: Windows 11 Home, Storage: 256 GB SSD, Weight: 1.74 kg kg, Warranty: 1 Year Onsite Warranty"
ASUS,AMD Ryzen 5 Quad Core Processor 8 GB LPDDR 5 RAMWindows 11 Operating System 512 GB SSD 35.56 cm (14 inch) Display 1 Year International Warranty,4.2,34990,3 Hours,Not found,Not found,35.56 cm (14 inch),ASUS,Not found,8 GB,LPDDR,Windows 11,512 GB SSD,35.56 cm (14 inch),Not found,"Product: ASUS, Brand: ASUS, Rating: 4.2, Price: ₹34990, Processor: Not found, RAM: 8 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 512 GB SSD, Weight: Not found kg, Warranty: Not found"
